date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2021-10-01,Z304MKJL,ST4000DM000,4000787030016,1,116,114682872,,,92,0,100,12,100,0,69,21521969740,,,48,46417,100,0,,,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,2,100,1437,33,33,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,46407,100,48656449752,100,327612737222,,,,,,,,,,,,,,,,,,,,
2021-10-02,Z304HTJ6,ST4000DM000,4000787030016,1,117,143235240,,,91,0,100,14,100,8,88,788707908,,,42,51253,100,0,,,100,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,92,8,100,0,100,0,78,22,100,0,100,0,1,235439,22,22,,,,,100,112,100,112,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,49959,100,45253564776,100,479798535356,,,,,,,,,,,,,,,,,,,,
2021-10-02,Z304GR8P,ST4000DM000,4000787030016,1,120,244003688,,,91,0,100,30,100,0,85,344157460,,,41,52459,100,0,,,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,1,256,100,0,100,0,100,0,78,22,100,0,100,1,96,9132,22,22,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,52355,100,66657307672,100,393352941547,,,,,,,,,,,,,,,,,,,,
2021-10-02,S301L4XY,ST4000DM000,4000787030016,1,102,5071976,,,91,0,100,26,100,0,82,183610568,,,41,52463,100,0,,,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,23,78,22,100,0,100,0,100,0,77,23,100,0,100,4,96,8438,23,23,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,52360,100,65811009000,100,422552157277,,,,,,,,,,,,,,,,,,,,
2021-10-03,Z3041JEN,ST4000DM000,4000787030016,1,119,228196584,,,91,0,100,26,100,232,85,336167208,,,41,52494,100,0,,,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,8,100,0,36,64,100,0,100,0,78,22,100,0,100,0,96,9212,22,22,,,,,100,96,100,96,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,52386,100,64570035448,100,336215714553,,,,,,,,,,,,,,,,,,,,
2021-10-06,Z302SYHG,ST4000DM000,4000787030016,1,118,182778792,,,92,0,100,11,100,0,84,257325266,,,39,53680,100,0,,,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,2,100,0,23,77,100,0,100,0,74,26,100,0,100,1,91,19735,26,26,,,,,100,112,100,112,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,53547,100,68051580472,100,319601926345,,,,,,,,,,,,,,,,,,,,
2021-10-06,Z304JXX6,ST4000DM000,4000787030016,1,119,205484600,,,92,0,100,14,100,0,81,155245243,,,40,52628,100,0,,,100,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,37,100,0,77,23,100,0,100,0,80,20,100,0,100,0,96,8170,20,20,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,52531,100,63814739592,100,422708630617,,,,,,,,,,,,,,,,,,,,
2021-10-07,S301GN45,ST4000DM000,4000787030016,1,117,138456304,,,91,0,100,16,100,0,76,46047682,,,41,52074,100,0,,,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,60,100,0,85,15,100,0,100,0,76,24,100,0,100,0,96,9445,24,24,,,,,100,16,100,16,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,52001,100,64642299744,100,289024286523,,,,,,,,,,,,,,,,,,,,
2021-10-07,Z302SZAE,ST4000DM000,4000787030016,1,105,7897392,,,91,0,100,37,97,3328,84,299390552,,,40,53246,100,0,,,100,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,4,100,0,86,14,100,0,100,0,71,29,100,0,100,0,94,12240,29,29,,,,,100,72,100,72,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,53051,100,68083015760,100,362925134817,,,,,,,,,,,,,,,,,,,,
2021-10-08,Z304HVTZ,ST4000DM000,4000787030016,1,111,209202812,,,92,0,100,8,100,0,89,889121714,,,42,51625,100,0,,,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,4,100,0,31,69,100,3,100,0,81,19,100,0,100,0,98,5510,19,19,,,,,63,6096,63,6096,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,51573,100,60325040800,100,473761265039,,,,,,,,,,,,,,,,,,,,
